dc_id,name,provider,state,latitude,longitude,operator_class,is_hyperscaler_self,is_colocation_major,is_colocation_secondary,est_mw,wet_bulb_c,climate_adj,est_liters_per_day,v1_predicted_wue,bws_score,bws_category
DC-00078,CyrusOne: NYM5 Norwalk Data Center,CyrusOne,CT,41.110988645461,-73.39827035947773,colocation_major,False,True,False,16.0,9.578082191780824,1.0,338688.0,0.5078342,1.331,Low-Medium
DC-00079,Centersquare: Dallas (DA2-Webb Chapel) Data Center,Centersquare,TX,32.911956,-96.87065706681486,colocation_major,False,True,False,10.0,15.162739726027397,1.004882191780822,212713.4623561644,0.9444843,2.681,Medium-High
DC-00080,Equinix: DC11 Ashburn Data Center,Equinix,VA,39.0149639,-77.45878957525659,colocation_major,False,True,False,4.9,10.42958904109589,1.0,103723.2,0.5798735,1.94,Low-Medium
DC-00081,QTS Data Centers: Irving - Dallas DC1 & DC2 Data Center,QTS Data Centers,TX,32.897271200000006,-96.9830171521263,colocation_major,False,True,False,75.2,15.272602739726029,1.0081780821917807,1604851.746016438,0.9444843,2.681,Medium-High
DC-00082,Amazon AWS: IAD55 Haymarket,Amazon AWS,VA,38.8148784,-77.64888000389527,hyperscaler_self,True,False,False,50.0,10.31808219178082,1.0,1058400.0,0.58630407,1.94,Low-Medium
DC-00083,QTS Data Centers: Suwanee Data Center 1,QTS Data Centers,GA,34.035266699999994,-84.06130781229422,colocation_major,False,True,False,26.0,13.227397260273971,1.0,550368.0,1.1034696,1.889,Low-Medium
DC-00084,Amazon AWS: IAD60 Ashburn,Amazon AWS,VA,39.0287737,-77.4582461,hyperscaler_self,True,False,False,50.0,10.524383561643834,1.0,1058400.0,0.58497727,1.94,Low-Medium
DC-00085,Digital Realty: Dallas DFW10 Data Center,Digital Realty,TX,32.78697608163265,-96.79400534693876,colocation_major,False,True,False,24.0,15.338630136986302,1.010158904109589,513193.04837260273,0.9444843,2.681,Medium-High
DC-00086,Equinix: SV4 Sunnyvale Data Center,Equinix,CA,37.41460445,-122.01455581751011,colocation_major,False,True,False,8.0,11.163013698630136,1.0,169344.0,0.8536765,3.724,High
DC-00087,Cologix: NNJ3 New Jersey Data Center,Cologix,NJ,40.85700465,-74.4188289900982,colocation_major,False,True,False,20.0,9.1413698630137,1.0,423360.0,0.5158759,2.797,Medium-High
DC-00088,Centersquare: LAX3 (Los Angeles) Irvine Data Center Campus,Centersquare,CA,33.68709305,-117.84797687554038,colocation_major,False,True,False,12.0,12.963835616438354,1.0,254016.0,1.2731755,3.724,High
DC-00089,Aligned Data Centers: ORD-02 Chicago,Aligned Data Centers,IL,41.9188164182653,-87.91923094111608,colocation_major,False,True,False,36.0,7.833150684931508,1.0,762048.0,0.5401212,0.75,Low
DC-00090,Stack Infrastructure: DFW01 Dallas Data Center,Stack Infrastructure,TX,33.062825797055936,-96.80951843575788,unknown,False,False,False,82.0,15.00027397260274,1.000008219178082,1735790.2666520544,0.9444843,2.681,Medium-High
DC-00091,QTS Data Centers: Ashburn-Shellhorn ASH3 Data Center 1,QTS Data Centers,VA,39.02040604668148,-77.49836920060885,colocation_major,False,True,False,42.0,10.46109589041096,1.0,889056.0,0.5798735,1.94,Low-Medium
DC-00092,Equinix: SE4 Kent Data Center,Equinix,WA,47.42152515,-122.24739250085904,colocation_major,False,True,False,12.0,8.32904109589041,1.0,254016.0,0.5808077,0.903,Low
DC-00093,Iron Mountain Data Centers: AZP - 3 - Phoenix Data Center,Iron Mountain Data Centers,AZ,33.451711,-111.97729071042008,colocation_major,False,True,False,36.0,12.55972602739726,1.0,762048.0,1.2515979,3.487,High
